country,completion_male
Abkhazia,
Afghanistan,
Akrotiri and Dhekelia,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,97.91143
Armenia,91.53127
Aruba,93.46734
Australia,
Austria,100.63802
Azerbaijan,91.68856
Bahamas,99.76959
Bahrain,
Bangladesh,
Barbados,92.61939
Belarus,95.96147
Belgium,88.84928
Belize,102.6911
Benin,
Bermuda,
Bhutan,72.70079
Bolivia,102.67834
Bosnia and Herzegovina,
Botswana,94.11288
Brazil,
British Virgin Islands,
Brunei,113.7737
Bulgaria,97.95108
Burkina Faso,34.483
Burundi,
Cambodia,90.30289
Cameroon,57.14797
Canada,95.98202
Cape Verde,96.34757
Cayman Islands,
Central African Republic,33.14412
Chad,42.08027
Channel Islands,
Chile,
China,
Christmas Island,
Cocos Island,
Colombia,107.91535
Comoros,
"Congo, Dem. Rep.",
"Congo, Rep.",81.12426
Cook Is,
Costa Rica,88.92221
Cote d'Ivoire,56.43557
Croatia,97.06999
Cuba,90.47517
Cyprus,100.89286
Czech Republic,92.63111
Czechoslovakia,
Denmark,101.64599
Djibouti,39.09687
Dominica,90.80158
Dominican Republic,80.58648
East Germany,
Ecuador,105.77417
Egypt,93.79192
El Salvador,83.95199
Equatorial Guinea,
Eritrea,56.33664
Eritrea and Ethiopia,
Estonia,102.08279
Ethiopia,52.8414
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,110.92981
Finland,97.059
France,
French Guiana,
French Polynesia,
Gabon,
Gambia,65.99393
Georgia,84.42441
Germany,98.70083
Ghana,73.04938
Gibraltar,
Greece,103.61986
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,80.619
Guernsey,
Guinea,72.87478
Guinea-Bissau,
Guyana,103.4659
Haiti,
Holy See,
Honduras,86.41905
"Hong Kong, China",101.1414
Hungary,99.28682
Iceland,97.52724
India,89.25894
Indonesia,95.73894
Iran,100.14115
Iraq,
Ireland,
Isle of Man,
Israel,102.19921
Italy,99.32794
Jamaica,
Japan,
Jersey,
Jordan,101.46418
Kazakhstan,103.07784
Kenya,
Kiribati,117.17172
North Korea,
South Korea,101.42852
United Korea (former),
Kosovo,
Kuwait,102.79057
Kyrgyz Republic,101.98938
Lao,80.35746
Latvia,93.00693
Lebanon,82.9449
Lesotho,62.49486
Liberia,
Libya,
Liechtenstein,95.16908
Lithuania,92.97615
Luxembourg,
"Macao, China",100.37605
"Macedonia, FYR",94.28383
Madagascar,58.29241
Malawi,58.20969
Malaysia,
Maldives,133.17733
Mali,53.49708
Malta,
Marshall Islands,113.12741
Martinique,
Mauritania,45.37206
Mauritius,90.66097
Mayotte,
Mexico,100.07284
"Micronesia, Fed. Sts.",
Moldova,98.39621
Monaco,
Mongolia,109.77474
Montenegro,
Montserrat,
Morocco,87.47829
Mozambique,48.45195
Myanmar,
Namibia,77.91099
Nauru,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,
Ngorno-Karabakh,
Nicaragua,72.12001
Niger,38.48075
Nigeria,101.28439
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,96.74694
Oman,
Pakistan,69.14668
Palau,
Panama,93.66881
Papua New Guinea,
Paraguay,93.51928
Peru,101.99261
Philippines,88.42144
Pitcairn,
Poland,
Portugal,
Puerto Rico,
Qatar,89.97718
Reunion,
Romania,100.24916
Russia,
Rwanda,
St. Barthélemy,
St. Helena,
St. Kitts and Nevis,
St. Lucia,107.87949
St. Martin,
St. Vincent and the Grenadines,
St.-Pierre-et-Miquelon,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,52.71254
Serbia,
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,
Sierra Leone,
Singapore,
Slovak Republic,91.53316
Slovenia,
Solomon Islands,
Somalia,
Somaliland,
South Africa,
South Ossetia,
Spain,97.94532
Sri Lanka,103.21631
Sudan,
Suriname,83.55954
Svalbard,
Swaziland,64.31763
Sweden,95.98507
Switzerland,92.42555
Syria,107.021
Taiwan,
Tajikistan,108.50036
Tanzania,73.84133
Thailand,
Timor-Leste,
Togo,87.66729
Tokelau,
Tonga,101.72009
Transnistria,
Trinidad and Tobago,
Tunisia,
Turkey,99.3479
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,89.34426
Uganda,
Ukraine,105.24323
United Arab Emirates,98.03661
United Kingdom,
United States,97.3215
Uruguay,98.52292
USSR,
Uzbekistan,100.15548
Wallis et Futuna,
Vanuatu,
Venezuela,93.03273
West Bank and Gaza,
West Germany,
Western Sahara,
Vietnam,
Virgin Islands (U.S.),
North Yemen (former),
South Yemen (former),
Yemen,
Yugoslavia,
Zambia,94.04398
Zimbabwe,
Åland,
South Sudan,
Christian,
Coastline,
Curaçao,
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
"Virgin Islands, British",
Hawaiian Trade Zone,
U.S. Pacific Islands,
Wake Island,
Bonaire,
Sark,
Chinese Taipei,
Saint Eustatius,
Saba,
