country,employment
Afghanistan,56
Albania,51.4000015259
Algeria,50
Angola,75.5
Argentina,58.4000015259
Armenia,39.4000015259
Australia,61.5999984741
Austria,57.0999984741
Azerbaijan,59.2999992371
Bahamas,66.9000015259
Bahrain,60.5999984741
Bangladesh,68.5999984741
Barbados,66.4000015259
Belarus,53.7000007629
Belgium,48.2000007629
Belize,57.5
Benin,71.5999984741
Bhutan,59.5999984741
Bolivia,70.0999984741
Bosnia and Herzegovina,41.0999984741
Botswana,45.5
Brazil,64
Brunei,64.0999984741
Bulgaria,47.7999992371
Burkina Faso,81.1999969482
Burundi,83.1999969482
Cambodia,78.4000015259
Cameroon,59.7000007629
Canada,62.5
Cape Verde,55.5
Central African Rep.,71.3000030518
Chad,69
Chile,52.5999984741
China,72.9000015259
Colombia,61.5
Comoros,67.9000015259
"Congo, Rep.",64.3000030518
"Congo, Dem. Rep.",66.4000015259
Costa Rica,57.9000015259
Cote d'Ivoire,60
Croatia,46.5
Cuba,56.0999984741
Cyprus,58.5999984741
Czech Rep.,55
Denmark,63.4000015259
Dominican Rep.,53.4000015259
Timor-Leste,66.0999984741
Ecuador,59.7000007629
Egypt,41.9000015259
El Salvador,58
Equatorial Guinea,62.5
Eritrea,65
Estonia,55.2000007629
Ethiopia,80.0999984741
Fiji,56.5
Finland,56.5999984741
France,50.7000007629
Gabon,58.7999992371
Gambia,71.5999984741
Georgia,55.0999984741
Germany,52.7999992371
Ghana,65
Greece,49
Guadeloupe,43.7999992371
Guatemala,62.2999992371
Guinea,81.5999984741
Guinea-Bissau,66.1999969482
Guyana,58.9000015259
Haiti,55.4000015259
Honduras,57.0999984741
"Hong Kong, China",58.2999992371
Hungary,47.2999992371
Iceland,74.5999984741
India,55.7000007629
Indonesia,59.7000007629
Iran,47.0999984741
Iraq,37.2999992371
Ireland,59.7000007629
Israel,51.0999984741
Italy,45.5999984741
Jamaica,59.0999984741
Japan,58
Jordan,39.2000007629
Kazakhstan,62.7999992371
Kenya,73.1999969482
"Korea, Dem. Rep.",64.6999969482
"Korea, Rep.",59.2000007629
Kuwait,65.6999969482
Kyrgyzstan,58.4000015259
Laos,78.1999969482
Latvia,56.5
Lebanon,46
Lesotho,58.5
Liberia,65.8000030518
Libya,48
Lithuania,52.7000007629
Luxembourg,52.5
"Macao, China",64.1999969482
Madagascar,84.0999984741
Malawi,71.6999969482
Malaysia,60.5999984741
Maldives,55.7999992371
Mali,45.5999984741
Malta,46.5
Martinique,43.0999984741
Mauritania,47.4000015259
Mauritius,53.5
Mexico,59.2999992371
Mongolia,52
Morocco,46.9000015259
Mozambique,77.0999984741
Myanmar,74.5999984741
Namibia,41.7999992371
Nepal,61.7999992371
Netherlands,60.4000015259
Netherlands Antilles,51.7999992371
New Zealand,65.4000015259
Nicaragua,58.2000007629
Niger,60.4000015259
Nigeria,51
Norway,64.1999969482
Oman,50.5999984741
Pakistan,50.5999984741
Panama,58
Papua New Guinea,70.1999969482
Paraguay,72.5
Peru,67.8000030518
Philippines,59.4000015259
Poland,46.5999984741
Portugal,57.7000007629
Puerto Rico,42
Qatar,75.5
Moldova,45.0999984741
Reunion,41.2999992371
Romania,51.0999984741
Russia,56.7999992371
Rwanda,80
Saudi Arabia,50.5999984741
Senegal,65.4000015259
Serbia and Montenegro,47
Sierra Leone,63.7999992371
Singapore,62.4000015259
Slovak Republic,51.2999992371
Slovenia,56.2999992371
Solomon Islands,65.3000030518
Somalia,65.8000030518
South Africa,39.5
Spain,52.7000007629
Sri Lanka,54.2999992371
Sudan,47
Suriname,45
Swaziland,51
Sweden,60.2999992371
Switzerland,64.6999969482
Syria,44.7999992371
Taiwan,54.2999992371
Tajikistan,51.2000007629
Tanzania,78.0999984741
Thailand,72.0999984741
"Macedonia, FYR",34.5999984741
Togo,64
Trinidad and Tobago,62.5999984741
Tunisia,41.4000015259
Turkey,43.5
Turkmenistan,58.2000007629
Uganda,83.0999984741
Ukraine,53.7999992371
United Arab Emirates,75
United Kingdom,59.4000015259
United States,62.5999984741
Uruguay,56.7000007629
Uzbekistan,56.5
Venezuela,59.7000007629
Vietnam,71.1999969482
West Bank and Gaza,31.6000003815
"Yemen, Rep.",39.0999984741
Zambia,60.7999992371
Zimbabwe,66.9000015259
