country,income_per_person
Abkhazia,
Afghanistan,1193.2821611669
Akrotiri and Dhekelia,
Albania,8090.4232803288
Algeria,12088.0876222888
American Samoa,
Andorra,42738.4
Angola,5303.7033073451
Anguilla,
Antigua and Barbuda,24004.4865925376
Argentina,12912.7112431556
Armenia,6306.1990089433
Aruba,40209.285719983
Australia,39281.0703203195
Austria,42476.836082755
Azerbaijan,10552.2155456845
Bahamas,25165.7133234209
Bahrain,58761.7061006958
Bangladesh,2021.3228952436
Barbados,15780.0579959283
Belarus,11818.5176875673
Belgium,40744.9022396806
Belize,8363.7962865914
Benin,1586.2615094106
Bermuda,57029.8650990791
Bhutan,4735.9079966897
Bolivia,4799.6375721786
Bosnia and Herzegovina,8272.7857411002
Botswana,12906.0275785629
Brazil,12178.7911775017
British Virgin Islands,
Brunei,76666.0398512615
Bulgaria,13344.6708590263
Burkina Faso,1306.9265589159
Burundi,665.9527862619
Cambodia,2110.5718749524
Cameroon,2551.197052963
Canada,41220.3577892298
Cape Verde,5032.5935342759
Cayman Islands,56745.9264468667
Central African Rep.,894.9416625819
Chad,1877.1397281622
Channel Islands,
Chile,17569.9594502579
China,7433.4677385809
Christmas Island,
Cocos Island,
Colombia,9636.7917754878
Comoros,1459.4839273522
"Congo, Dem. Rep.",614.5983453015
"Congo, Rep.",4992.26093576
Cook Islands,
Costa Rica,11238.156269492
Cote d'Ivoire,2810.7694015743
Croatia,20921.1883626437
Cuba,15759.7011313611
Cyprus,31628.0270086141
Czech Rep.,26886.7977809072
Czechoslovakia,
Denmark,44911.9871576793
Djibouti,2516.3421936536
Dominica,9023.9815673295
Dominican Rep.,9262.8519625968
East Germany,
Ecuador,8691.6232243856
Egypt,8995.0617094841
El Salvador,7135.8305451779
Equatorial Guinea,33490.6374684705
Eritrea,1262.5748378673
Eritrea and Ethiopia,
Estonia,23724.8836873951
Ethiopia,795.5219285734
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,7436.5206103016
Finland,40181.2792388869
France,36988.4747934921
French Guiana,
French Polynesia,
Gabon,14771.3680447883
Gambia,1491.368372794
Georgia,5097.5663220646
Germany,39661.0743368823
Ghana,2616.2153885914
Gibraltar,
Greece,31325.1571545563
Greenland,23031.1937952404
Grenada,11365.7477609996
Guadeloupe,
Guam,
Guatemala,6652.0762368233
Guernsey,
Guinea,1197.3123210453
Guinea-Bissau,1350.5187978153
Guyana,4751.5119484961
Haiti,1563.9827919979
Holy See,
Honduras,4146.6526883475
"Hong Kong, China",43447.3474547254
Hungary,23261.9860645154
Iceland,42775.4683494814
India,3556.6003230074
Indonesia,6787.5213607164
Iran,13595.7836044691
Iraq,11739.3178793659
Ireland,49706.9354358973
Isle of Man,
Israel,26574.3759500723
Italy,38216.4547782136
Jamaica,8883.4816716091
Japan,34494.2983953812
Jersey,
Jordan,9819.0468481914
Kazakhstan,17028.0605126233
Kenya,2389.2262940334
Kiribati,1683.481872644
"Korea, Dem. Rep.",1461
"Korea, Rep.",28285.3369088381
"Korea, United",
Kosovo,6618.3397617939
Kuwait,101767.233110847
Kyrgyzstan,2429.2818470139
Laos,3047.684542323
Latvia,19942.7364347259
Lebanon,11921.117235793
Lesotho,1909.8410639702
Liberia,618.6578988432
Libya,27251.700281437
Liechtenstein,
Lithuania,19271.2711719495
Luxembourg,93422.6550210893
"Macao, China",71594.5756671143
"Macedonia, FYR",9790.221170793
Madagascar,1402.1254002814
Malawi,603.6825738171
Malaysia,18427.8844535967
Maldives,8865.8217444487
Mali,1555.0184060109
Malta,26289.6002837899
Marshall Islands,3338.9830444222
Martinique,
Mauritania,2721.7409727475
Mauritius,13034.0904983967
Mayotte,
Mexico,15955.2322678245
"Micronesia, Fed. Sts.",3311.9645667743
Moldova,3472.1695462601
Monaco,54635.9126984127
Mongolia,5840.3507687583
Montenegro,11837.2886202313
Montserrat,
Morocco,5725.2448265873
Mozambique,770.2262119063
Myanmar,2592.5586140028
Nagorno-Karabakh,
Namibia,7770.1403406352
Nauru,4897.148728441
Nepal,1792.4328195753
Netherlands,43918.9890259325
Netherlands Antilles,
New Caledonia,
New Zealand,31991.8460064784
Nicaragua,3824.1736776723
Niger,792.0124684549
Nigeria,4220.4486095091
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,64039.1947403121
Oman,40901.741429363
Pakistan,4018.8898159485
Palau,13426.575353407
Panama,11635.9069020541
Papua New Guinea,1751.1130258146
Paraguay,6243.8574165182
Peru,8071.3878179178
Philippines,4932.6412741663
Pitcairn,
Poland,18059.3239352315
Portugal,26666.7038946336
Puerto Rico,36028.8064995068
Qatar,126817.533734353
Reunion,
Romania,15982.5487569927
Russia,19553.6667616987
Rwanda,995.2402428575
Saint Barthélemy,
Saint Helena,
Saint Kitts and Nevis,22176.1646410004
Saint Lucia,9943.0189257009
Saint Martin,
Saint Vincent and the Grenadines,10129.1367100689
Saint-Pierre-et-Miquelon,
Samoa,5584.8460391829
San Marino,55241.1760823078
Sao Tome and Principe,2365.3218817188
Saudi Arabia,39462.3326827719
Senegal,2078.4815900584
Serbia,11845.7533703105
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,19700.1135428538
Sierra Leone,1213.8272277775
Singapore,65012.1634887644
Slovak Republic,21538.2431898355
Slovenia,28313.440792532
Solomon Islands,1713.9326154117
Somalia,614.5824444507
Somaliland,
South Africa,10774.7592133069
South Ossetia,
South Sudan,2657.4082227547
Spain,33927.4710421126
Sri Lanka,6151.4019230359
Sudan,2686.8271101128
Suriname,12975.7301445823
Svalbard,
Swaziland,5550.7708795517
Sweden,42449.4949586963
Switzerland,52912.895875247
Syria,5888.4756164218
Taiwan,37661.0454204115
Tajikistan,1767.1903693839
Tanzania,1328.5098901658
Thailand,11505.1702825712
Timor-Leste,1270.3154125304
Togo,1208.7053303967
Tokelau,
Tonga,5100.3672320151
Transnistria,
Trinidad and Tobago,28990.4876929626
Tunisia,9109.3494333519
Turkey,16093.1894243325
Turkmenistan,7265.8006524299
Turks and Caicos Islands,20689.9907510673
Tuvalu,3047.5279587274
Uganda,1112.1672871542
Ukraine,7879.7959186471
United Arab Emirates,96399.7374535398
United Kingdom,37670.6719877461
United States,50655.9614500354
Uruguay,13322.3412358657
USSR,
Uzbekistan,3165.0515208841
Wallis et Futuna,
Vanuatu,2738.7245287871
Venezuela,16154.4279877302
West Bank and Gaza,4192.8882520122
West Germany,
Western Sahara,
Vietnam,3645.9716579432
Virgin Islands (U.S.),
Yemen Arab Republic (Former),
Yemen Democratic (Former),
"Yemen, Rep.",4319.5767817367
Yugoslavia,
Zambia,2988.2312336348
Zimbabwe,1675.4437628438
Åland,
